ERA40,1960s,1980s,2000s,2010s,C20156,C20167,C20178,C201920
4387.8,4542,4365.4,3961.7,3560.2,3465.7,2902.9,3200.8,
4417.4,4573.7,4395.3,3991.9,3582.8,3490.4,2928.8,3227.6,
4447,4605.7,4424.9,4021.8,3606.1,3512.7,2953.3,3255.1,
4476.6,4637,4454.1,4050.5,3629.2,3534.2,2975.6,3282.5,
4505.8,4667.8,4483.4,4078.7,3652.7,3556,2996.8,3310,
4534.7,4698.2,4512.7,4106.8,3676.7,3572.6,3017.9,3337.4,
4563.6,4727.7,4541.9,4134.3,3701.2,3588.9,3041,3364.1,
4592,4756.9,4570.5,4162.2,3725.7,3609.2,3064.8,3390.5,
4620.3,4786.4,4598.1,4190.2,3750.3,3630.7,3089.7,3417.6,
4648,4816.4,4625.8,4218.2,3774.5,3652.5,3111.4,3445.6,
4675.6,4846.3,4653.6,4246.6,3797.9,3675.7,3131.7,3474.6,
4703.1,4875.7,4680.9,4274.4,3821.1,3700.5,3152.9,3503,
4730.2,4904.7,4709,4302.4,3844.1,3723.2,3174.9,3527.9,
4757.8,4933,4737.6,4330.4,3867,3745.6,3197,3553.7,
4785.7,4961.3,4766.2,4357.2,3890.1,3767.3,3219.4,3579.2,
4813.2,4989.6,4794.3,4382.4,3913.2,3787.7,3241.7,3602.6,
4840.7,5018.2,4821.9,4408.3,3936.2,3807.5,3264,3625,
4868.3,5046.7,4849.1,4434.6,3959.3,3827.3,3287,3647.2,
4895.6,5074.8,4876.5,4461,3981.9,3848.3,3309.9,3669.3,
4922.6,5102.7,4904.3,4487.4,4004.3,3870.5,3332.5,3692.4,
4949.5,5130.2,4932.2,4513.5,4027,3892.5,3353.4,3715.7,
4976.3,5157.7,4960,4539.4,4049.9,3912.6,3373.6,3739.3,
5002.8,5185.2,4987.7,4565.3,4072.9,3932.7,3393.1,3763.4,
5029.1,5212.5,5015.4,4590.9,4095.3,3953.9,3413.2,3786.4,
5055.2,5239.8,5043,4616,4117.2,3976,3433.9,3809.7,
5081,5266.6,5070.4,4641,4138.1,3998.3,3453.5,3833.4,
5106.6,5292.2,5097.5,4665.5,4159,4020.2,3472.6,3856.7,
5132,5317.8,5124.7,4689.7,4180.2,4041.6,3492.9,3877.3,
5157.2,5343.1,5151.5,4713.6,4202,4064.3,3514.4,3897.7,
5182.4,5367.6,5178.1,4737,4223.7,4088.1,3536.8,3918.7,
5207.1,5391.1,5203.5,4759.8,4245,4111.7,3559.1,3938.6,
5231.3,5414,5228.4,4782.1,4266.2,4134.9,3581.1,3958.7,
5254.9,5436.5,5252.6,4804,4287.3,4157.1,3602.5,3977.7,
5277.9,5458.6,5276.2,4825.4,4308.2,4178.7,3623,3996.8,
5300.6,5480.5,5299,4845.7,4328.5,4199.8,3642.2,4016.5,
5322.8,5502.3,5321.4,4865.6,4347.9,4220.3,3661.5,4036.6,
5344.7,5523.7,5343.4,4884.7,4366.3,4240.2,3680.2,4057.4,
5366.4,5545.2,5364.9,4903.9,4384.1,4259.7,3697.6,4078.3,
5387.6,5566.5,5386.1,4922.7,4401.1,4277.5,3713.3,4098.3,
5408.5,5587.3,5406.9,4940.8,4417.8,4294.7,3728.9,4117,
5429,5607.4,5427.2,4958.6,4434.7,4311.8,3745.2,4134.4,
5448.9,5627.1,5446.9,4976.1,4451.5,4328.3,3759.9,4150.9,
5468.3,5646.5,5465.6,4993.5,4468.2,4344.3,3774.1,4166.3,
5487.3,5665.3,5483.7,5010.6,4484.5,4360.1,3787.6,4181,
5505.6,5683.6,5501.5,5027.2,4500.2,4376.1,3800.3,4195.4,
5523.5,5701.6,5518.7,5043.4,4515,4391.4,3813.2,4210,
5540.9,5719.5,5535.5,5059.4,4529,4405.8,3826.8,4224.7,
5557.9,5737.3,5551.9,5075.4,4543.2,4419.9,3841.5,4239.8,
5574.7,5755.2,5567.7,5091.1,4557.3,4433.6,3856.2,4255.5,
5591.2,5772.3,5583.3,5106.2,4570.9,4447.2,3870.7,4270.9,
5607.2,5788.3,5598.3,5120.6,4583.8,4460.1,3885,4285.6,
5622.6,5803.5,5612.8,5134.7,4596.4,4473.3,3899.2,4299.3,
5637.5,5818.5,5627.1,5148.5,4608.8,4486,3914,4312.4,
5652,5833.4,5640.9,5162,4621,4498.3,3928.4,4325.1,
5666.2,5847.9,5653.9,5175.1,4633.3,4510.3,3942.7,4336.1,
5680,5861.7,5666.5,5187.2,4645.2,4522,3956.7,4345.4,
5693.3,5875.2,5679,5198.4,4657,4534.3,3970.2,4353.9,
5706.3,5888.5,5691.5,5209.5,4668.6,4545.8,3983.3,4360.1,
5718.9,5901.3,5702.9,5220.6,4680,4556.1,3995.9,4365.3,
5731,5913.8,5713.7,5231.8,4691.2,4566.2,4008.1,4370.6,
5742.6,5926,5724.1,5242.7,4702.6,4576.5,4020.6,4376.7,
5753.8,5937.5,5733.9,5253.1,4714.2,4586.9,4033.4,4384.6,
5764.5,5948.9,5743.4,5263.1,4725.6,4596.9,4045.7,4392.4,
5774.8,5960.2,5752.6,5272.6,4736.7,4606.5,4057.5,4400.2,
5784.7,5971.1,5761.9,5281.7,4747.7,4616,4068.9,4408,
5794.3,5981.5,5770.9,5290.8,4758.7,4625,4080.3,4415.9,
5803.7,5991.5,5779.7,5299.6,4769.7,4633.4,4090.8,4423.5,
5812.8,6001.2,5788.2,5308.3,4780.3,4641.6,4100.9,4430.5,
5821.6,6010.6,5796.2,5316.6,4790.2,4649.8,4111.2,4437.7,
5830.1,6019.6,5803.7,5324.6,4799.3,4657.6,4120.6,4445.1,
5838.2,6028.1,5810.9,5332.2,4807.6,4664.6,4130,4452,
5845.7,6035.8,5817.6,5339.7,4815.3,4670.1,4139.6,4458.3,
5852.6,6043,5823.9,5346.9,4822.4,4674.8,4148.5,4464,
5859,6049.8,5829.7,5353.6,4829,4680,4156.8,4469.1,
5864.9,6056,5835.1,5359.8,4835.3,4685.4,4164.4,4474.3,
5870.5,6061.4,5840.3,5365.7,4841.1,4690.2,4171.6,4479.5,
5875.6,6066.4,5844.9,5370.9,4846.5,4694.4,4178.5,4484.4,
5880.2,6071,5848.8,5375.7,4851.5,4698,4184.8,4489.3,
5884.5,6075.2,5852.2,5380.1,4856,4701.4,4189.9,4493.6,
5888.4,6078.7,5855.5,5383.9,4859.9,4705,4194.6,4497.7,
5891.8,6081.6,5858.5,5387.4,4863.5,4708.3,4199,4502,
5894.9,6084.3,5861.2,5390.7,4867,4711.1,4203.2,4506.4,
5897.7,6086.8,5863.5,5393.9,4870.3,4713.7,4206.9,4510.1,
5900.1,6089.1,5865.3,5397.1,4873.1,4715.5,4209.3,4513.3,
5902.6,6091.4,5867.2,5400.3,4875.8,4717.5,4211.2,4515.3,
